nom_commune;codes_postaux;code_insee;latitude;longitude;éloignement
Lochieu;1260;1218;45.933333;5.716667;1.27
Lompnas;1680;1219;45.8;5.516667;1.71
Lompnieu;1260;1221;45.966667;5.65;1.04
Magnieu;1300;1227;45.783333;5.716667;1.81
Marchamp;1680;1233;45.783333;5.55;1.81
Marignieu;1300;1234;45.8;5.716667;1.71
Massignieu-de-Rives;1300;1239;45.75;5.766667;2.01
Mijoux;1170;1247;46.366667;6;2.23
Montagnieu;1470;1255;45.8;5.466667;1.71
Montanges;1200;1257;46.166667;5.8;1.55
Murs-et-Gélignieux;1300;1268;45.633333;5.666667;2.71
Nattages;1300;1271;45.733333;5.766667;2.11
Nivollet-Montgriffon;1230;1277;45.983333;5.433333;1.42
Oncieu;1230;1279;45.95;5.466667;0.8
Ordonnaz;1510;1280;45.833333;5.533333;1.89
Ornex;1210;1281;46.283333;6.1;2.58
Outriaz;1430;1282;46.066667;5.55;0.83
Parves;1300;1286;45.75;5.75;2.01
Péron;1630;1288;46.2;5.933333;2.01
Peyrieu;1300;1294;;;
Plagne;1130;1298;46.183333;5.733333;1.33
Pollieu;1350;1302;45.8;5.75;1.71
Pougny;1550;1308;46.133333;5.95;2.06
Prémeyzel;1300;1310;45.683333;5.65;2.41
Prémillieu;1510;1311;45.866667;5.566667;1.43
Prévessin-Moëns;1280;1313;46.25;6.083333;2.52
Pugieu;1510;1316;45.816667;5.65;1.61
Rossillon;1510;1329;45.833333;5.6;1.51
Ruffieu;1260;1330;46;5.666667;1.11
Saint-Benoît;1300;1338;45.7;5.583333;2.31
Saint-Bois;1300;1340;45.7;5.633333;2.31
Saint-Champ;1300;1341;45.783333;5.733333;1.81
Saint-Genis-Pouilly;1630;1354;46.25;6.016667;2.29
Saint-Germain-de-Joux;1130;1357;46.183333;5.733333;1.33
Saint-Germain-les-Paroisses;1300;1358;45.766667;5.616667;1.91
Saint-Jean-de-Gonville;1630;1360;46.216667;5.95;2.06
Saint-Martin-de-Bavel;1510;1372;45.85;5.683333;1.41
Saint-Rambert-en-Bugey;1230;1384;45.95;5.433333;0.88
Sauverny;1220;1397;46.316667;6.116667;2.63
Ségny;1170;1399;46.3;6.083333;2.52
Seillonnaz;1470;1400;45.8;5.483333;1.71
Sergy;1630;1401;46.25;6;2.23
Serrières-de-Briord;1470;1403;;;
Seyssel;1420;1407;45,96;5,83; 
Songieu;1260;1409;45.966667;5.7;1.21
Surjoux;1420;1413;46.016667;5.8;1.55
Sutrieu;1260;1414;45.95;5.65;1.04
Talissieu;1510;1415;45.866667;5.716667;1.49
Tenay;1230;1416;45.916667;5.5;1
Thézillieu;1110;1417;45.883333;5.6;1.28
Thoiry;1710;1419;;;
Torcieu;1230;1421;45.916667;5.4;1.56
Versonnex;1210;1435;;;
Vesancy;1170;1436;46.35;6.083333;2.52
Vieu;1260;1442;45.9;5.683333;1.17
Vieu-d'Izenave;1430;1441;46.083333;5.533333;0.64
Villes;1200;1448;46.083333;5.783333;1.5
Virieu-le-Grand;1510;1452;45.85;5.65;1.41
Virieu-le-Petit;1260;1453;45.9;5.716667;1.44
Virignin;1300;1454;45.716667;5.716667;2.21
Vongnes;1350;1456;45.816667;5.716667;1.61
Ambérieux-en-Dombes;1330;1005;46;4.9;1.72
Arbigny;1190;1016;46.466667;4.966667;2.31
Ars-sur-Formans;1480;1021;45.983333;4.816667;1.8
Asnières-sur-Saône;1570;1023;46.383333;4.883333;1.81
Bâgé-la-Ville;1380;1025;46.316667;4.95;1.41
Bâgé-le-Châtel;1380;1026;46.3;4.933333;1.4
Baneins;1990;1028;46.116667;4.9;1.51
Beauregard;1480;1030;;;
Bey;1290;1042;46.216667;4.85;1.68
Beynost;1700;1043;45.833333;5;1.51
Birieux;1330;1045;45.95;5.033333;1.06
Biziat;1290;1046;46.216667;4.933333;1.51
Boissey;1190;1050;46.383333;5;1.81
Bouligneux;1330;1052;46.016667;5;1.17
Boz;1190;1057;46.4;4.9;1.91
Chalamont;1320;1074;46;5.166667;0.65
Chaleins;1480;1075;46.033333;4.8;1.85
Chaneins;1990;1083;46.1;4.85;1.68
Chanoz-Châtenay;1400;1084;46.183333;5.033333;1.06
Châtenay;1320;1090;46.033333;5.2;0.65
Châtillon-la-Palud;1320;1092;45.966667;5.25;1.39
Châtillon-sur-Chalaronne;1400;1093;46.116667;4.966667;1.29
Chavannes-sur-Reyssouze;1190;1094;46.433333;5;2.11
Chaveyriat;1660;1096;46.183333;5.066667;0.98
Chevroux;1190;1102;46.383333;4.95;1.81
Civrieux;1390;1105;45.916667;4.883333;1.57
Condeissiat;1400;1113;46.166667;5.083333;1.6
Cormoranche-sur-Saône;1290;1123;46.233333;4.833333;1.74
Crans;1320;1129;45.966667;5.216667;0.9
Crottet;1620;1134;46.283333;4.9;1.51
Cruzilles-lès-Mépillat;1290;1136;46.216667;4.883333;1.57
